,box,angry,disgust,fear,happy,sad,surprise,neutral
144,"[544, 231, 198, 243]",0.06,0.0,0.16,0.22,0.21,0.0,0.35
145,"[545, 236, 199, 240]",0.03,0.0,0.08,0.3,0.18,0.0,0.4
146,"[546, 240, 198, 237]",0.05,0.0,0.12,0.27,0.16,0.0,0.4
147,"[548, 241, 195, 235]",0.05,0.0,0.13,0.19,0.16,0.0,0.46
148,"[548, 243, 193, 234]",0.04,0.0,0.11,0.31,0.16,0.0,0.38
149,"[548, 243, 195, 234]",0.02,0.0,0.07,0.32,0.15,0.0,0.44
150,"[547, 241, 195, 236]",0.03,0.0,0.1,0.39,0.13,0.0,0.34
151,"[543, 237, 198, 241]",0.02,0.0,0.06,0.53,0.09,0.0,0.3
152,"[541, 242, 203, 243]",0.03,0.0,0.08,0.23,0.17,0.0,0.48
153,"[543, 239, 197, 243]",0.03,0.0,0.02,0.65,0.12,0.0,0.19
154,"[540, 246, 196, 237]",0.08,0.0,0.12,0.31,0.25,0.0,0.23
155,"[543, 241, 196, 236]",0.07,0.0,0.07,0.32,0.22,0.0,0.32
156,"[541, 242, 199, 240]",0.1,0.0,0.16,0.14,0.29,0.0,0.31
157,"[541, 242, 199, 242]",0.16,0.0,0.22,0.06,0.26,0.0,0.3
158,"[540, 241, 204, 245]",0.2,0.0,0.28,0.04,0.2,0.01,0.28
159,"[541, 241, 202, 244]",0.18,0.0,0.44,0.02,0.13,0.02,0.21
160,"[544, 238, 197, 243]",0.16,0.0,0.48,0.01,0.14,0.02,0.18
161,"[544, 240, 194, 240]",0.24,0.0,0.23,0.06,0.25,0.01,0.2
162,"[544, 241, 195, 239]",0.21,0.0,0.22,0.08,0.3,0.01,0.18
163,"[546, 243, 195, 237]",0.13,0.0,0.27,0.08,0.26,0.01,0.26
164,"[546, 244, 195, 234]",0.08,0.0,0.09,0.43,0.14,0.0,0.25
165,"[543, 240, 198, 241]",0.06,0.0,0.1,0.28,0.2,0.0,0.35
166,"[543, 240, 196, 239]",0.03,0.0,0.1,0.4,0.13,0.0,0.34
167,"[543, 240, 195, 237]",0.03,0.0,0.11,0.34,0.12,0.0,0.41
168,"[541, 238, 199, 240]",0.06,0.0,0.14,0.32,0.12,0.0,0.37
169,"[543, 240, 196, 237]",0.05,0.0,0.19,0.22,0.14,0.0,0.39
170,"[543, 239, 195, 237]",0.03,0.0,0.14,0.33,0.09,0.0,0.41
171,"[543, 237, 195, 238]",0.04,0.0,0.16,0.32,0.09,0.01,0.39
172,"[543, 239, 194, 236]",0.04,0.0,0.2,0.16,0.13,0.0,0.46
