,box,angry,disgust,fear,happy,sad,surprise,neutral
230,"[525, 370, 183, 226]",0.06,0.0,0.02,0.01,0.11,0.0,0.8
231,"[525, 369, 183, 227]",0.06,0.0,0.02,0.01,0.1,0.0,0.82
232,"[526, 371, 182, 226]",0.09,0.0,0.03,0.02,0.16,0.0,0.7
233,"[525, 371, 183, 226]",0.08,0.0,0.02,0.01,0.14,0.0,0.75
234,"[525, 371, 183, 226]",0.07,0.0,0.02,0.01,0.1,0.0,0.8
235,"[526, 373, 181, 224]",0.04,0.0,0.01,0.01,0.11,0.0,0.83
236,"[524, 371, 183, 226]",0.04,0.0,0.01,0.0,0.1,0.0,0.84
237,"[525, 371, 182, 226]",0.04,0.0,0.02,0.0,0.09,0.0,0.84
238,"[525, 370, 183, 227]",0.03,0.0,0.01,0.01,0.07,0.0,0.87
239,"[526, 371, 182, 225]",0.07,0.0,0.02,0.01,0.1,0.0,0.81
240,"[526, 370, 183, 227]",0.05,0.0,0.01,0.01,0.09,0.0,0.84
241,"[525, 371, 183, 226]",0.04,0.0,0.01,0.01,0.08,0.0,0.86
242,"[526, 372, 179, 224]",0.08,0.0,0.02,0.02,0.14,0.0,0.73
243,"[524, 368, 184, 230]",0.1,0.0,0.02,0.03,0.19,0.0,0.66
244,"[523, 368, 186, 230]",0.07,0.0,0.02,0.01,0.2,0.0,0.7
245,"[523, 368, 185, 230]",0.1,0.0,0.02,0.01,0.15,0.0,0.73
246,"[523, 369, 185, 230]",0.08,0.0,0.02,0.02,0.12,0.0,0.77
247,"[523, 369, 185, 229]",0.09,0.0,0.02,0.01,0.16,0.0,0.71
248,"[522, 368, 186, 232]",0.09,0.0,0.03,0.02,0.13,0.0,0.73
249,"[523, 370, 184, 228]",0.09,0.0,0.02,0.01,0.13,0.0,0.75
250,"[524, 372, 182, 226]",0.06,0.0,0.02,0.01,0.12,0.0,0.79
251,"[523, 372, 182, 225]",0.05,0.0,0.02,0.01,0.11,0.0,0.81
252,"[527, 382, 180, 220]",0.05,0.0,0.04,0.0,0.21,0.0,0.7
253,"[524, 370, 182, 227]",0.06,0.0,0.03,0.01,0.13,0.0,0.76
254,"[530, 383, 179, 219]",0.07,0.0,0.07,0.0,0.25,0.0,0.62
255,"[541, 386, 173, 213]",0.13,0.0,0.06,0.0,0.18,0.0,0.63
256,"[544, 384, 175, 216]",0.1,0.0,0.06,0.0,0.21,0.0,0.62
257,"[540, 377, 180, 221]",0.04,0.0,0.02,0.0,0.13,0.0,0.8
258,"[543, 376, 181, 219]",0.05,0.0,0.04,0.0,0.19,0.0,0.71
259,"[548, 362, 185, 227]",0.08,0.0,0.04,0.01,0.13,0.0,0.73
260,"[565, 375, 173, 212]",0.07,0.0,0.04,0.0,0.19,0.0,0.7
261,"[569, 373, 174, 213]",0.07,0.0,0.04,0.0,0.21,0.0,0.67
262,"[572, 371, 176, 217]",0.04,0.0,0.04,0.01,0.14,0.0,0.78
263,"[573, 368, 176, 218]",0.04,0.0,0.03,0.01,0.09,0.0,0.83
264,"[580, 377, 170, 205]",0.06,0.0,0.02,0.0,0.08,0.0,0.84
265,"[579, 369, 176, 217]",0.07,0.0,0.05,0.01,0.13,0.0,0.74
266,"[579, 367, 177, 219]",0.04,0.0,0.05,0.0,0.11,0.0,0.79
267,"[579, 370, 177, 216]",0.06,0.0,0.05,0.0,0.08,0.0,0.82
268,"[580, 370, 174, 213]",0.04,0.0,0.03,0.0,0.08,0.0,0.85
269,"[581, 370, 173, 212]",0.04,0.0,0.03,0.0,0.09,0.0,0.84
270,"[583, 368, 172, 210]",0.04,0.0,0.02,0.0,0.11,0.0,0.82
271,"[583, 369, 171, 208]",0.05,0.0,0.02,0.0,0.12,0.0,0.8
272,"[585, 368, 170, 207]",0.06,0.0,0.02,0.0,0.14,0.0,0.78
273,"[585, 368, 171, 210]",0.03,0.0,0.02,0.0,0.1,0.0,0.85
274,"[586, 369, 169, 208]",0.04,0.0,0.02,0.0,0.12,0.0,0.81
275,"[587, 370, 168, 207]",0.03,0.0,0.02,0.0,0.11,0.0,0.84
276,"[586, 370, 170, 207]",0.04,0.0,0.02,0.0,0.1,0.0,0.84
277,"[585, 369, 172, 209]",0.03,0.0,0.01,0.0,0.07,0.0,0.88
278,"[585, 370, 171, 208]",0.02,0.0,0.01,0.0,0.04,0.0,0.93
279,"[591, 372, 170, 206]",0.02,0.0,0.02,0.0,0.06,0.0,0.91
280,"[585, 370, 172, 209]",0.03,0.0,0.02,0.0,0.07,0.0,0.89
281,"[584, 369, 173, 211]",0.03,0.0,0.03,0.0,0.08,0.0,0.85
282,"[584, 368, 175, 214]",0.04,0.0,0.05,0.0,0.1,0.0,0.81
283,"[590, 372, 169, 207]",0.04,0.0,0.04,0.0,0.07,0.0,0.85
284,"[583, 370, 174, 212]",0.03,0.0,0.04,0.0,0.07,0.0,0.85
285,"[583, 368, 174, 215]",0.03,0.0,0.02,0.0,0.05,0.0,0.89
286,"[591, 374, 167, 204]",0.04,0.0,0.03,0.0,0.08,0.0,0.85
